PRODUCT_LINE,INDEX,NAME,BOARDID,BOMREV,DESC,FILE,T1FILE,QRCHECK,SW_ID
UniFiSwitch,0,USW-48-POE,ed52,"['113-04110', '113-04111', '113-04112', '113-04238']",UBNT UniFiSwitch 48 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-24,ed51,113-04113,UBNT UniFiSwitch 24,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-48,ed53,113-04114,UBNT UniFiSwitch 48 POE (RTK),us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-XG-24-POE,eb25,113-02793,UBNT UniFiSwitch XG 24-Port PoE,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-LEAF,f060,113-02997,UniFi Super Switch 48-port,us_udc-alpine_factory.py,,True,0002,0201
UniFiSwitch,0,USW-48,ed25,113-02972,UBNT UniFiSwitch 48 POE (RTK),us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-XG-48-POE,eb26,113-02792,UBNT UniFiSwitch XG 48-Port PoE,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-Aggregation,ed2d,113-03138,UBNT UniFiSwitch Aggregation,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-LITE-8-POE,ed55,"['113-04100', '113-04102']",UBNT UniFiSwitch Lite 8 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-48-POE,ed22,"['113-02865', '113-03957', '113-03964']",UBNT UniFiSwitch 48 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-24-PRO,eb37,113-02953,UBNT UniFiSwitch 24-Port Pro,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-FLEX-MINI,ed31,113-03970,UniFi Switch Flex Mini (ESP32),usw_esp32_factory.py,,True,0002,0201
UniFiSwitch,0,USW-48-500W,eb67,113-02146,UBNT UniFiSwitch 48-Port Pro PoE,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-48-PRO-POE,eb67,113-02757,UBNT UniFiSwitch 48-Port Pro PoE,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-24,ed24,113-02944,UBNT UniFiSwitch 24,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-Enterprise-8-PoE,ed41,113-03188,UniFi Switch Enterprise 8-port PoE,us_mrvl_factory.py,,True,0002,0201
UniFiSwitch,0,US-8-150W,eb10,113-02189,UniFi Switch 8-port 150W,us_bcm5334x_factory.py,us_bcm5334x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-LITE-16-POE,ed54,"['113-04115', '113-04116', '113-04117']",UBNT UniFiSwitch Lite 16 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-48-PRO,eb68,113-02952,UBNT UniFiSwitch 48-Port Pro,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,US-24,eb30,113-02294,UBNT UniFiSwitch 24-Port,us_bcm5334x_factory.py,us_bcm5334x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-LEAF-PRO,f063,113-03162,UniFi Super Switch 48-port,us_udc-alpine_factory.py,,True,0002,0201
UniFiSwitch,0,USW-16-POE,ed20,"['113-02848', '113-03955', '113-03960']",UBNT UniFiSwitch 16 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,6,USW-LITE-8-POE,ed55,"['113-04100', '113-04102']",UBNT UniFiSwitch Lite 8 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,US-48,eb60,113-02295,UBNT UniFiSwitch 48-Port (BCM),us_bcm5334x_factory.py,us_bcm5334x_mfg.py,True,0002,0201
UniFiSwitch,0,US-16-150W,eb21,113-02290,UBNT UniFiSwitch 16-Port 150W,us_bcm5334x_factory.py,us_bcm5334x_mfg.py,True,0002,0201
UniFiSwitch,0,US-24-250W,eb31,113-02147,UBNT UniFiSwitch 24-Port 250W,us_bcm5334x_factory.py,us_bcm5334x_mfg.py,True,0002,0201
UniFiSwitch,0,US-8-60W,eb18,113-02341,UniFi Switch 8-port 60W,us_bcm5334x_factory.py,us_bcm5334x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-FLEX-MINI,ed30,113-02851,UniFi Switch Flex Mini,us_m487_factory.py,us_m487_mfg.py,True,0002,0201
UniFiAP,0,UAP-NANO-HD,ec20,113-00573,UniFi AP NANO HD,us_mt7621_factory.py,unifi_mt7621_mfg.py,True,0004,0601
UniFiAP,0,UMR-PRO-US,dca6,113-01112,UniFi Mobile Router PRO US,uap_qca956x_factory2.py,uap_qca956x_mfg.py,activate_code,0601
UniFiAP,0,UMR-EU-AC,e618,113-01247,UniFi Mobile Router EU AC,uap_qca956x_factory2.py,uap_qca956x_mfg.py,activate_code,0004,0601
UniFiAP,0,UAP-Industrial,ec2a,113-00710,UniFi AP nanoHD industrial,us_mt7621_factory.py,,True,0004,0601
UniFiAP,0,U-LTE-Backup-Pro-EU,e612,113-00718,UniFi LTE Backup Pro EU,uap_qca956x_factory.py,uap_qca956x_mfg.py,True,0004,0601
UniFiAP,0,UAP-AC-Lite,e517,113-00391,UniFi AC Lite,uap_qca9563_factory.py,uap_qca9563_mfg.py,True,0004,0601
UniFiAP,0,UAP-AC-PRO,e537,113-00390,UniFi AC PRO,uap_qca9563_factory.py,uap_qca9563_mfg.py,True,0004,0601
UniFiAP,0,UMR-EU-AC,e618,113-00830,UniFi Mobile Router EU AC,uap_qca956x_factory2.py,uap_qca956x_mfg.py,activate_code,0004,0601
UniFiAP,0,UACC-M-PoE,dcb4,113-01068,UACC M PoE,upoe_ipq40xx_factory.py,upoe_ipq40xx_mfg.py,True,0004,0601
UniFiAP,0,UAP-IWHD,ec22,113-00600,UniFi AP IW HD,us_mt7621_factory.py,unifi_mt7621_mfg.py,True,0004,0601
UniFiAP,0,ULTE-PRO,e611,113-02525,UniFi LTE Pro EU,uap_qca956x_factory.py,uap_qca956x_mfg.py,True,0004,0601
UniFiAP,0,UMR-US-AC,e619,113-00758,UniFi Mobile Router US AC,uap_qca956x_factory2.py,uap_qca956x_mfg.py,activate_code,0004,0601
UniFiAP,0,U-LTE-Backup-Pro-US-01155,e613,113-01155,UniFi LTE Backup Pro US,uap_qca956x_factory.py,uap_qca956x_mfg.py,True,0004,0601
UniFiAP,0,WiFiMan-Scanner,a922,113-03621,Bluetooth Paired WiFi Spectrum Analyzer,ufp_efr32_factory.py,,True,1601
UniFiAP,0,UAP-AC-LR,e527,113-00392,UniFi AC Long Range,uap_qca9563_factory.py,uap_qca9563_mfg.py,True,0004,0601
UniFiAP,0,UACC-M-PoE-at,dcb5,113-01068,UACC M PoE at,upoe_ipq40xx_factory.py,upoe_ipq40xx_mfg.py,True,0004,0601
UniFiAP,0,UAP-UBB,dc98,113-00694,UniFi AP Building Bridge,uap_ipq40xx_factory.py,uap_ipq40xx_mfg.py,True,0004,0601
UniFiAP,0,U-LTE-Backup-Pro-US,e613,113-00788,UniFi LTE Backup Pro US,uap_qca956x_factory.py,uap_qca956x_mfg.py,True,0004,0601
UniFiAP,0,UMR-US-AC,e619,113-00729,UniFi Mobile Router US AC,uap_qca956x_factory2.py,uap_qca956x_mfg.py,activate_code,0004,0601
UniFiAP,0,UAP-UBB 831,dc9c,113-00800,UniFi AP Building Bridge 831,uap_ipq40xx_factory.py,uap_ipq40xx_mfg.py,True,0004,0601
UniFiAP,0,UMR-PRO-EU,dca7,113-01248,UniFi Mobile Router PRO EU,uap_qca956x_factory2.py,uap_qca956x_mfg.py,activate_code,0601
UniFiAP,0,UAP-FLEXHD,ec26,113-00641,UniFi AP Flex HD,us_mt7621_factory.py,unifi_mt7621_mfg.py,True,0004,0601
UniFiAP,0,ULTE-FLEX-US,e615,113-00758,UniFi LTE FLEX US,uap_qca956x_factory2.py,uap_qca956x_mfg.py,True,0004,0601
UniFiAP,0,UBB-XG,dd12,113-00958,UniFi AP Building Bridge XG,uap_ls104x_factory.py,uap_ls104x_mfg.py,True,0004,0601
UniFiAP,0,ULTE-FLEX-EU,e614,113-00830,UniFi LTE FLEX EU,uap_qca956x_factory2.py,uap_qca956x_mfg.py,True,0004,0601
UniFiVideo,0,UVC-G4DOME,a573,113-02998,UVC G4 Dome,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G3INFANTRY-CAMERA,a5c0,113-03759,AmpliFi InstaCam,uvc_snxx_factory.py,,False,0009,0e03
UniFiVideo,0,UNIFI-WAVEROVERCAMERA,a594,113-04000,UniFi Wave Rover Camera,uvc_factory_camera2.py,,False,0009,0e03
UniFiVideo,0,UVC-G4BULLET,a572,113-02987,UVC G4 Bullet,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G4DOORBELL,a571,113-02712,UVC G4 Doorbell,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G5FLEX,a593,113-03911,UVC G5 Flex,uvc_factory_camera2.py,,False,0009,0e03
UniFiVideo,0,UVC-G5GBULLET,a591,113-03815,UVC G5 Bullet,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G4INS,a595,113-03346,UVC G4 Instant,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G3INFANTRY-DISPLAY,a5c1,113-03783,AmpliFi InstaCam Display,uvc_snxx_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-DSLR-Bullet,a5b0,113-03377,UVC DSLR Bullet,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G3MINI,a590,113-03132,UVC G3 Mini,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G4DOORBELLPROPOE,a575,113-03849,UVC G4 Doorbell Pro POE,uvc_factory_camera2.py,,False,0009,0e03
UniFiVideo,0,UVC-G4DOORBELLPRO,a574,113-03194,UVC G4 Doorbell Pro,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G5PRO-MP,a598,113-04055,UVC G5 Pro (MP ver.),uvc_factory_camera2.py,,False,0009,0e03
UniFiVideo,0,UVC-G4PTZ,a564,113-02967,UVC G4 PTZ,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G4DOORBELLBATTERY,a597,113-03465,UVC G4 Doorbell Battery,uvc_factory.py,,False,0009,0e03
