PRODUCT_LINE,INDEX,NAME,BOARDID,BOMREV,DESC,FILE,T1FILE,QRCHECK,FCD_ID,SW_ID
airMAX,0,R5AC-PTP-M-WORLD,e7e5,113-00450,Rocket Prism 5AC M World,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,NBE-5AC,e7fc,113-00556,NanoBeam 5AC US,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,PBE-5AC-500,e3d5,113-00477,PowerBeam 5AC 500,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,NBE-5AC-19,e4f5,113-00346,NanoBeam 5AC 19,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,R5AC-LITE,e1f5,113-00348,Rocket 5AC Lite,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,PS-5AC-World,e7e8,113-00546,Prisam Base Station 5AC (World),am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,LAP-120,e8e5,113-00402,LiteAP AC,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,LBE-5AC-XR,e7ff,113-00962,LiteBeam 5AC US,am_ar9342_factory.py,am_ar9342_mfg.py,False,000B,1202
airMAX,0,RP-5AC-WORLD,e7e9,113-00545,Rocket Prism 5AC World,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,PrismAP,dc97,113-00697,PrismStation AP,am_qca955x_factory.py,,False,000b,1201
airMAX,0,LOCO5AC,e7fa,113-00552,Loco5AC,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,PBE-5AC-620-US,e5f5,113-00421,PowerBeam 5AC 620 US,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,LBE-AX,a659,113-01073,LiteBeam AX,am_ipq5018_bspfactory.py,am_ipq5018_mfg.py,False,000B,1202
airMAX,0,RP-5AC-US,e7e7,113-00526,Rocket Prism 5AC US,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,R2AC-PRISM,e2f3,113-00570,Rocket 2AC PRISM,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,BULLETAC-IP67,e2c7,113-00592,BulletAC IP67,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,GBE-LR,dc99,113-00709,GBE,am_ipq40xx_factory.py,am_ipq40xx_mfg.py,False,000b,1201
airMAX,0,NS-5AC,e7fb,113-00554,NanoStation 5AC,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,R5AC-PTP-M-US,e7e5,113-00406,Rocket Prism 5AC M US,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
UniFiServer,0,USRV-TT,1200,113-00732,Ubiquiti Server,unifi_ast2500_factory.py,,True,0010,1b01
UniFiSwitch,0,USW-48-500W,eb67,113-02146,UBNT UniFiSwitch 48-Port Pro PoE,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-LEAF,f060,113-02997,UniFi Super Switch 48-port,us_udc-alpine_factory.py,,True,0002,0201
UniFiSwitch,0,US-16-150W,eb21,113-02290,UBNT UniFiSwitch 16-Port 150W,us_bcm5334x_factory.py,us_bcm5334x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-Aggregation-Pro,eb27,113-03046,UBNT UniFiSwitch Aggregation Pro,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-LITE-16-POE,ed26,113-02945,UBNT UniFiSwitch Lite 16 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,US-8-150W,eb10,113-02189,UniFi Switch 8-port 150W,us_bcm5334x_factory.py,us_bcm5334x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-XG-24-POE,eb25,113-02793,UBNT UniFiSwitch XG 24-Port PoE,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,US-48-500W,eb62,113-02146,UBNT UniFiSwitch 48-Port 500W,us_bcm5334x_factory.py,us_bcm5334x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-48,ed25,113-02972,UBNT UniFiSwitch 48 POE (RTK),us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,US-24,eb30,113-02294,UBNT UniFiSwitch 24-Port,us_bcm5334x_factory.py,us_bcm5334x_mfg.py,True,0002,0201
